Country,City,Year,AQI,PM2.5,PM10,Deforestation_Rate_%,Afforestation_Rate_%,Vehicles_Increase_%,Industries_Increase_%,Env_Budget_Million_USD,Population_Density_Per_SqKm,CO2_Emissions_MT,Green_Space_Ratio_%,Avg_Life_Expectancy_Index
Argentina,Buenos Aires,2014,144.02,95.38,124.16,3.93,2.32,11.03,5.13,68.3,7612.92,196.42,35.41,75.54
Argentina,Buenos Aires,2014,161.81,73.35,123.64,3.54,1.85,4.5,7.3,143.51,10983.91,174.43,31.03,74.5
Argentina,Buenos Aires,2014,133.11,55.49,128.95,1.94,0.39,11.5,8.29,246.25,3442.93,214.09,35.8,76.62
Argentina,Buenos Aires,2014,153.11,82.18,122.18,3.94,2.3,12.01,8.87,241.67,1689.14,213.0,41.28,75.28
Argentina,Buenos Aires,2014,132.52,77.86,110.86,2.14,1.92,9.94,4.35,278.98,12838.73,182.23,30.79,76.72
Argentina,Buenos Aires,2014,89.31,46.24,92.85,1.83,2.15,12.95,6.62,228.92,2301.11,199.94,42.33,79.5
Argentina,Buenos Aires,2014,179.66,100.91,150.96,1.51,0.62,13.57,9.96,378.35,13401.02,251.39,26.94,73.78
Argentina,Buenos Aires,2014,165.58,99.42,118.7,2.55,1.54,12.24,9.51,84.47,3394.01,222.72,38.68,74.13
Argentina,Buenos Aires,2014,59.22,28.62,46.83,3.08,0.68,4.08,7.5,359.92,2996.89,145.22,35.96,81.77
Argentina,Buenos Aires,2014,219.53,144.78,230.89,2.75,0.75,12.83,5.87,147.85,14703.74,201.12,24.79,70.66
Argentina,Buenos Aires,2015,129.08,84.58,93.77,2.38,1.94,5.79,3.83,161.34,14510.48,136.45,28.93,76.72
Argentina,Buenos Aires,2015,60.05,34.55,58.39,1.21,1.9,10.05,6.16,340.55,1689.25,188.15,42.81,81.68
Argentina,Buenos Aires,2015,173.18,87.87,140.02,2.94,0.63,11.2,7.04,240.04,10239.89,202.88,28.71,73.94
Argentina,Buenos Aires,2015,207.97,109.51,196.82,4.05,0.9,13.4,9.57,164.74,8273.46,246.16,30.37,71.47
Argentina,Buenos Aires,2015,122.01,73.26,124.21,3.61,1.64,11.6,3.92,165.01,9497.4,188.4,31.82,77.2
Argentina,Buenos Aires,2015,120.2,57.86,95.47,1.65,2.37,13.68,4.96,329.91,9471.27,200.93,36.0,77.65
Argentina,Buenos Aires,2015,153.53,93.5,161.17,1.14,0.65,12.65,3.13,124.19,11691.89,188.63,29.11,75.01
Argentina,Buenos Aires,2015,168.93,84.54,130.35,4.05,2.95,12.0,7.23,122.16,8278.13,223.72,36.53,73.98
Argentina,Buenos Aires,2015,108.11,59.59,112.05,0.83,1.48,6.84,5.39,295.72,10827.54,152.19,32.79,78.38
Argentina,Buenos Aires,2015,164.28,93.84,164.28,4.47,2.98,9.81,6.36,236.04,9238.82,188.73,35.24,74.52
Argentina,Buenos Aires,2016,167.52,76.15,118.12,3.72,0.42,7.99,9.63,247.82,13772.09,229.17,23.76,74.33
Argentina,Buenos Aires,2016,168.53,80.83,123.1,3.23,0.37,7.8,4.17,352.78,12690.73,148.9,25.19,74.47
Argentina,Buenos Aires,2016,215.65,109.68,168.94,4.14,0.51,13.47,6.53,174.04,12704.57,247.18,24.68,70.97
Argentina,Buenos Aires,2016,222.75,109.07,163.49,4.31,0.33,7.6,9.83,98.04,13759.07,225.36,22.92,70.35
Argentina,Buenos Aires,2016,146.42,95.57,157.48,3.39,0.65,13.75,5.16,205.94,1981.36,206.77,36.59,75.65
Argentina,Buenos Aires,2016,116.01,80.2,126.53,3.18,1.87,7.94,6.36,168.49,4010.11,163.03,38.41,77.6
Argentina,Buenos Aires,2016,150.75,98.01,152.74,1.07,0.93,12.96,4.33,318.29,13786.48,216.27,27.92,75.59
Argentina,Buenos Aires,2016,121.43,62.94,133.45,2.53,2.21,11.14,8.96,119.5,4419.36,199.79,39.68,77.14
Argentina,Buenos Aires,2016,138.77,69.33,101.04,2.69,2.18,11.13,9.21,197.39,2933.3,225.73,40.93,76.14
Argentina,Buenos Aires,2016,62.51,34.27,48.19,1.94,0.37,11.09,4.08,358.61,1212.75,169.46,37.95,81.55
Argentina,Buenos Aires,2016,204.28,118.28,189.77,3.87,0.93,9.46,8.56,89.65,10011.44,206.46,28.91,71.56
Argentina,Buenos Aires,2016,94.69,64.68,76.73,3.39,2.42,8.9,9.13,292.97,4560.7,206.12,39.32,79.27
